transaction_id,customer_id,date,description,payee,amount,channel
T001,C05,2026-01-08,Routine payment,Cafe Aroma,300.00,UPI
T002,C05,2026-01-22,Routine payment,Fresh Mart,1800.00,UPI
T003,C05,2026-02-05,Routine payment,City Power Co,2500.00,ONLINE
T004,C05,2026-02-19,Routine payment,Cafe Aroma,320.00,UPI
T005,C05,2026-03-04,Routine payment,Fresh Mart,1600.00,UPI
T006,C05,2026-03-20,Routine payment,City Power Co,2450.00,ONLINE
T007,C05,2026-04-10,Express payment,Fresh Mart,1500.00,UPI
T008,C05,2026-04-10,Express payment,Cafe Aroma,400.00,UPI
T009,C05,2026-04-10,Express payment,City Power Co,2200.00,UPI
T010,C05,2026-04-10,Express payment,Fresh Mart,1750.00,UPI
T011,C05,2026-04-10,Express payment,Cafe Aroma,350.00,UPI
T012,C05,2026-04-10,Express payment,Fresh Mart,1900.00,UPI
