transaction_id,customer_id,date,description,payee,amount,channel
T001,C09,2026-01-02,Routine payment,Cafe Aroma,180.00,UPI
T002,C09,2026-01-15,Routine payment,Fresh Mart,1200.00,UPI
T003,C09,2026-02-01,Routine payment,City Power Co,2200.00,UPI
T004,C09,2026-02-18,Routine payment,Fresh Mart,1350.00,UPI
T005,C09,2026-03-05,Routine payment,Cafe Aroma,210.00,UPI
T006,C09,2026-03-22,Routine payment,City Power Co,2150.00,UPI
T007,C09,2026-04-10,Urgent wire,Shadow Capital LLC,180000.00,CRYPTO
T008,C09,2026-04-10,Urgent wire,Shadow Capital LLC,195000.00,CRYPTO
T009,C09,2026-04-10,Urgent wire,Shadow Capital LLC,175000.00,CRYPTO
T010,C09,2026-04-10,Urgent wire,Shadow Capital LLC,210000.00,CRYPTO
